open,high,low,close,volume,openTime,closeTime
1821.29,1823.97,1810.28,1816.73,30048.878,2021-02-10 07:45:00,2021-02-10 07:59:59
1816.73,1848.00,1816.67,1830.35,102154.593,2021-02-10 08:00:00,2021-02-10 08:14:59
1830.34,1830.34,1804.00,1814.25,75958.902,2021-02-10 08:15:00,2021-02-10 08:29:59
1814.26,1816.51,1795.19,1807.09,40651.805,2021-02-10 08:30:00,2021-02-10 08:44:59
1807.10,1812.12,1802.38,1810.23,22910.432,2021-02-10 08:45:00,2021-02-10 08:59:59
1810.23,1813.69,1806.37,1812.15,13344.175,2021-02-10 09:00:00,2021-02-10 09:14:59
1812.15,1822.11,1811.28,1819.56,20178.535,2021-02-10 09:15:00,2021-02-10 09:29:59
1819.56,1823.30,1806.42,1808.52,26933.494,2021-02-10 09:30:00,2021-02-10 09:44:59
1808.52,1808.69,1785.00,1796.14,54354.251,2021-02-10 09:45:00,2021-02-10 09:59:59
1796.13,1811.98,1786.31,1811.08,32928.885,2021-02-10 10:00:00,2021-02-10 10:14:59
1811.14,1815.21,1803.12,1804.22,35624.249,2021-02-10 10:15:00,2021-02-10 10:29:59
1804.23,1810.04,1792.51,1800.21,30317.989,2021-02-10 10:30:00,2021-02-10 10:44:59
1800.21,1803.65,1792.74,1798.95,19232.068,2021-02-10 10:45:00,2021-02-10 10:59:59
1798.98,1801.50,1785.00,1789.92,32470.264,2021-02-10 11:00:00,2021-02-10 11:14:59
1789.99,1793.03,1775.16,1782.01,38709.692,2021-02-10 11:15:00,2021-02-10 11:29:59
1782.12,1796.50,1775.00,1793.73,32213.465,2021-02-10 11:30:00,2021-02-10 11:44:59
1793.62,1797.56,1790.79,1796.02,13559.673,2021-02-10 11:45:00,2021-02-10 11:59:59
1796.02,1796.36,1759.72,1768.75,90760.569,2021-02-10 12:00:00,2021-02-10 12:14:59
1768.74,1775.98,1763.10,1767.56,32817.176,2021-02-10 12:15:00,2021-02-10 12:29:59
1767.55,1770.68,1683.08,1721.81,198063.537,2021-02-10 12:30:00,2021-02-10 12:44:59
1721.81,1755.92,1714.31,1746.37,87052.310,2021-02-10 12:45:00,2021-02-10 12:59:59
1746.37,1756.10,1732.37,1750.93,65546.682,2021-02-10 13:00:00,2021-02-10 13:14:59
1750.93,1751.57,1725.20,1732.99,43154.566,2021-02-10 13:15:00,2021-02-10 13:29:59
1732.81,1749.50,1730.81,1747.02,31308.005,2021-02-10 13:30:00,2021-02-10 13:44:59
1747.02,1750.57,1738.50,1747.02,22883.799,2021-02-10 13:45:00,2021-02-10 13:59:59
1747.03,1764.99,1734.91,1761.16,49659.073,2021-02-10 14:00:00,2021-02-10 14:14:59
1761.17,1764.48,1725.00,1730.57,67778.623,2021-02-10 14:15:00,2021-02-10 14:29:59
1730.57,1742.10,1713.73,1734.50,86053.547,2021-02-10 14:30:00,2021-02-10 14:44:59
1734.50,1742.03,1720.29,1724.52,40439.492,2021-02-10 14:45:00,2021-02-10 14:59:59
1724.52,1728.54,1704.00,1722.93,76615.036,2021-02-10 15:00:00,2021-02-10 15:14:59
1722.84,1731.31,1702.00,1703.02,52813.885,2021-02-10 15:15:00,2021-02-10 15:29:59
1703.02,1716.19,1692.72,1694.03,78872.156,2021-02-10 15:30:00,2021-02-10 15:44:59
1694.05,1717.40,1680.00,1715.47,96421.896,2021-02-10 15:45:00,2021-02-10 15:59:59
1715.49,1729.00,1692.13,1725.77,85426.033,2021-02-10 16:00:00,2021-02-10 16:14:59
1725.80,1738.80,1719.80,1734.41,48193.219,2021-02-10 16:15:00,2021-02-10 16:29:59
1734.48,1735.88,1719.69,1731.24,52196.041,2021-02-10 16:30:00,2021-02-10 16:44:59
